x,y
17,0
15,0
20,0
15,0
62,31
288,0
15,0
57,0
21,0
30,0
93,0
51,51
35,6
20,0
28,0
29,0
36,0
23,0
34,0
68,66
63,54
194,0
23,23
100,100
71,71
204,0
53,8
33,0
20,20
53,30
35,35
170,0
26,12
62,12
37,0
59,59
81,0
166,166
66,60
18,16
85,0
17,0
23,0
31,0
18,0
18,0
16,0
125,90
303,303
48,48
69,0
21,0
22,0
16,0
42,0
111,0
22,22
31,19
171,166
21,21
52,52
25,25
34,30
64,64
50,0
30,7
34,0
18,0
15,0
16,0
17,0
17,0
28,0
144,0
62,0
28,0
23,0
17,0
431,0
200,0
60,0
250,250
15,0
34,21
90,0
72,0
131,13
16,3
21,21
58,29
18,14
264,264
235,235
156,156
17,17
34,0
19,0
34,34
15,0
53,0
37,0
28,0
51,0
16,0
126,0
28,0
32,15
25,0
31,0
73,73
35,0
17,0
48,0
77,0
41,0
50,0
108,0
60,0
204,167
58,0
28,6
35,0
37,20
17,0
235,0
112,0
17,12
97,0
156,156
20,18
15,0
183,0
41,0
15,0
17,0
149,35
405,0
26,0
19,0
32,0
41,0
58,0
196,196
147,0
126,96
29,0
22,0
76,0
21,0
16,0
38,38
56,47
23,0
17,0
42,0
30,0
17,0
49,0
27,0
16,16
88,0
21,0
130,10
25,0
22,0
212,55
33,0
48,0
146,0
87,0
89,0
18,0
47,0
201,0
94,0
71,64
22,0
77,0
24,0
29,15
31,0
19,11
115,0
39,0
177,0
23,15
30,0
17,0
113,89
116,99
19,0
16,0
220,0
149,0
106,106
41,0
62,0
120,0
33,0
24,0
20,0
247,26
153,0
26,0
396,0
68,0
246,41
59,0
70,0
17,0
35,0
46,0
116,0
80,0
31,0
19,19
22,22
57,40
20,11
66,63
72,0
18,9
32,0
20,0
27,0
166,161
88,0
162,110
15,8
20,0
23,23
83,81
20,20
58,27
39,0
29,0
144,122
45,0
15,0
26,0
66,0
15,0
20,0
21,0
27,20
15,0
24,24
90,0
222,21
248,93
18,0
34,0
24,0
29,0
33,0
20,20
118,0
77,72
25,0
17,9
22,11
47,19
29,26
98,98
21,5
26,15
24,24
76,76
193,0
40,40
15,0
171,67
120,11
38,0
102,0
107,107
80,35
21,11
103,103
61,0
39,21
22,0
67,4
36,0
128,118
44,0
49,0
29,0
47,0
22,0
34,0
15,0
20,0
84,0
51,0
41,0
46,0
51,0
24,0
89,9
51,0
168,124
35,0
172,110
73,73
131,91
17,0
28,0
60,0
21,0
423,60
31,31
24,0
213,203
30,0
46,46
91,0
37,0
35,35
22,22
29,0
31,25
221,221
181,0
36,0
163,0
21,0
39,34
210,131
64,47
73,73
127,0
61,0
35,0
15,0
66,28
55,0
185,0
39,0
30,0
55,55
18,0
90,1
126,45
97,9
48,45
126,126
73,0
108,25
21,21
40,33
23,14
68,66
22,22
25,25
32,31
133,133
15,0
46,28
23,0
24,0
32,0
62,33
16,0
26,0
70,0
31,0
47,16
54,0
161,0
63,60
31,0
74,44
77,65
36,0
123,108
243,128
124,124
45,45
67,0
48,48
21,0
70,0
17,0
146,0
17,0
48,48
15,3
19,10
32,8
177,36
39,1
94,0
47,39
40,40
66,0
23,0
20,15
37,0
28,0
75,0
48,48
16,0
29,22
16,0
17,0
80,0
69,0
36,36
30,0
113,8
34,0
259,9
26,26
25,24
26,0
16,0
15,0
22,0
24,0
16,0
61,0
82,0
44,0
17,0
74,4
17,0
60,59
89,0
62,0
91,91
84,84
90,0
65,65
30,0
17,0
371,0
42,12
86,79
18,0
36,36
36,0
96,0
17,0
84,0
18,0
26,0
205,45
16,0
126,126
299,31
53,0
57,0
88,0
17,0
102,53
109,0
90,0
55,0
41,0
98,0
113,0
42,42
361,0
16,0
15,0
17,0
21,21
24,0
144,0
36,0
39,22
76,0
21,0
44,26
116,0
155,4
156,0
239,0
146,146
32,0
49,0
163,0
16,0
114,102
51,51
36,36
57,57
33,0
80,0
29,0
22,16
235,0
26,0
15,10
72,0
37,0
24,24
72,0
43,43
126,126
45,42
52,0
71,0
55,55
87,0
163,0
40,0
86,25
26,26
30,0
19,0
16,0
135,0
75,0
15,0
20,0
128,105
49,49
31,30
148,81
138,118
145,43
151,150
50,43
33,19
125,107
81,27
215,16
107,107
49,0
18,0
25,0
