x,y
1391,193
1391,202
1391,220
1391,198
1391,182
1391,188
1391,208
1391,224
1391,223
1391,215
1391,204
1391,215
1391,231
1391,195
1391,201
1391,248
1391,223
1391,259
1391,253
1391,226
1391,267
1391,235
1391,218
1391,312
1391,286
1391,281
1391,273
1391,224
1391,239
1391,241
1391,227
1391,277
1391,244
1391,258
1391,237
1391,241
1391,226
1391,230
1391,278
852,153
501,114
748,122
1195,201
405,109
405,96
405,93
405,94
241,76
1029,135
1029,177
980,137
456,106
456,123
534,99
393,94
610,96
610,100
610,107
610,106
405,69
695,125
695,104
695,133
695,132
986,149
986,152
986,181
986,169
187,67
187,122
936,136
1042,147
1042,142
1039,153
1039,159
1039,146
1039,156
1039,151
1039,152
1039,159
1039,158
1039,183
1039,155
1039,153
1039,148
1039,145
1039,150
1039,172
1039,160
1039,158
1039,180
1039,172
1039,170
1039,174
1039,178
1039,176
1039,156
1039,160
1039,169
1039,213
1039,169
187,92
187,86
1039,151
1039,170
852,140
700,124
700,131
700,105
448,86
448,82
448,101
448,86
448,105
448,88
448,91
448,88
448,81
448,84
448,80
448,106
448,102
448,96
448,105
448,75
448,101
1149,169
1149,156
1149,145
1149,156
1149,157
1149,162
1149,166
1149,159
1149,171
1149,149
1149,157
1149,149
1149,140
1149,164
1149,181
1149,156
1149,158
1149,165
1149,172
1149,188
1149,186
1149,170
1149,170
1149,174
1149,168
1149,154
1149,150
1149,162
632,131
1195,186
1139,228
411,85
411,75
411,80
411,68
411,72
411,79
411,75
411,73
411,72
411,79
411,69
411,82
411,83
411,84
411,87
411,86
411,93
411,67
411,83
411,90
411,92
411,81
411,78
762,145
762,132
762,157
762,145
986,132
1050,192
411,108
411,97
411,98
411,99
411,97
411,105
411,90
411,91
411,97
411,91
411,102
411,86
411,117
411,95
411,107
411,101
411,102
411,94
411,81
411,96
411,101
411,100
1050,139
596,96
740,113
740,187
740,203
762,101
762,110
762,117
762,118
265,56
265,75
265,60
265,73
265,77
265,68
265,82
265,73
265,87
265,100
265,83
265,88
265,59
265,69
265,70
265,84
265,69
265,59
265,95
265,59
265,76
265,65
265,78
265,98
1182,161
1182,162
1262,181
1262,178
1262,173
1262,172
1262,158
1262,174
1262,185
1262,168
1262,175
1262,166
1262,179
1262,167
1262,172
1262,167
1262,166
1262,168
1262,168
1262,164
1262,200
1262,217
1262,157
1262,165
752,151
752,105
229,78
229,63
229,64
229,79
852,149
852,162
852,158
852,155
852,175
852,173
852,179
852,167
852,163
852,195
852,184
852,150
852,154
852,144
852,152
852,142
852,163
852,137
852,148
852,163
852,179
852,213
852,160
852,166
1149,147
752,122
852,128
852,130
852,149
852,128
852,141
852,148
852,156
852,122
852,125
852,119
852,128
852,137
852,135
852,144
852,163
852,150
852,139
852,132
852,154
852,130
852,114
852,135
852,137
589,111
411,104
311,75
311,75
311,77
311,88
311,66
311,88
311,74
311,76
311,74
311,79
311,83
311,78
311,75
311,125
311,76
311,85
311,65
311,94
311,79
311,80
311,81
311,101
311,93
1097,169
1097,232
1097,167
1097,171
308,75
201,60
613,107
1029,177
1029,180
1029,166
1029,154
1029,167
1029,162
1029,146
1029,151
1029,159
1029,188
1029,172
1029,141
1029,139
1029,180
1029,178
1029,155
1029,153
1029,137
1029,164
1029,171
1029,169
1029,158
1029,165
1029,177
1029,152
1029,190
1029,166
232,91
232,71
232,68
232,68
232,71
232,53
232,61
232,66
232,54
232,80
232,54
232,57
232,73
232,56
232,71
232,69
232,66
232,54
232,56
232,61
232,62
232,66
232,64
232,75
232,63
232,134
232,90
232,63
232,100
232,56
232,63
232,63
232,76
232,77
232,62
232,74
232,54
232,73
232,60
232,70
232,68
232,64
232,58
232,49
232,53
232,67
232,70
232,86
232,79
232,74
232,94
232,66
232,63
232,63
232,69
232,74
232,75
232,74
232,113
232,59
589,135
589,142
701,135
892,131
509,100
1034,146
232,76
232,55
232,52
232,68
232,64
232,62
232,58
232,75
232,68
232,79
232,64
232,78
232,56
232,84
232,61
232,71
232,60
232,74
232,62
232,68
232,59
232,64
232,61
232,96
232,70
232,68
232,76
232,81
695,121
695,113
695,112
695,122
695,117
695,118
695,108
695,121
695,117
695,124
695,112
695,114
695,133
695,128
695,135
695,147
695,149
695,128
695,124
695,137
695,134
695,128
695,119
213,56
213,66
980,136
980,145
980,136
980,161
589,137
589,161
232,60
232,63
232,71
232,48
232,77
232,64
232,68
232,71
232,77
232,62
232,69
232,64
232,50
232,78
232,60
232,68
232,60
232,67
232,59
232,65
232,63
232,58
232,58
232,57
232,93
232,105
232,62
232,65
232,76
503,113
509,147
509,118
509,133
509,135
509,133
509,123
509,127
509,126
509,146
509,119
509,135
509,144
509,127
509,124
509,125
509,137
509,122
509,139
509,126
509,138
509,130
509,111
509,126
509,165
509,126
509,127
509,140
509,132
509,139
509,138
509,103
509,99
509,100
509,114
509,103
509,97
509,117
509,105
509,95
509,112
509,102
509,93
509,118
509,109
509,105
509,105
509,119
509,95
509,102
509,110
509,126
509,97
509,109
509,105
509,103
509,98
509,159
1097,213
986,153
1029,203
1029,189
1029,186
1029,195
1029,192
1029,216
1029,238
1029,195
1029,207
1029,205
1029,203
1029,216
1029,214
1029,214
1029,202
1029,224
1029,203
1029,193
1029,176
1029,188
1029,226
1029,234
1029,181
1029,190
1029,210
1029,215
1029,196
1029,185
1029,187
964,130
589,122
589,116
453,117
453,101
453,98
453,88
453,102
453,111
453,107
453,132
453,95
453,104
453,102
453,96
453,101
453,107
453,108
453,101
453,112
453,113
453,101
453,112
453,96
453,112
453,117
453,96
432,101
432,73
432,73
432,98
432,82
432,86
432,100
432,81
432,83
432,85
432,134
432,71
432,109
432,74
432,76
432,92
432,77
432,84
432,85
432,93
432,77
432,81
432,82
213,58
213,61
539,94
539,103
539,110
539,102
539,105
539,110
539,119
539,105
539,101
539,109
539,120
539,105
539,109
539,109
539,122
539,99
539,118
539,110
539,125
828,121
740,196
740,202
448,86
448,104
448,77
448,98
448,110
448,88
448,90
448,101
448,97
448,102
448,94
448,106
448,100
448,81
448,93
448,78
448,87
448,83
448,86
448,87
448,83
448,93
448,120
448,91
448,125
448,75
448,86
308,76
308,69
308,79
308,84
308,71
308,67
308,69
308,83
308,70
308,76
308,74
308,79
308,58
308,65
308,88
308,77
308,70
308,77
308,119
308,93
308,74
308,76
308,78
308,86
740,121
740,111
828,182
828,149
872,121
872,120
872,130
872,127
872,128
872,128
872,127
872,142
872,138
872,124
872,133
872,134
872,138
872,117
872,119
872,112
872,116
872,107
872,112
872,112
872,119
872,121
872,124
872,110
872,167
872,147
872,157
872,144
872,166
872,146
872,141
872,138
872,155
872,143
872,145
872,162
872,144
872,137
872,152
872,146
872,138
872,145
872,142
872,146
872,147
872,139
872,171
694,115
1069,182
1069,167
1069,182
1069,184
1069,178
1069,183
1069,174
1069,199
1069,169
1069,202
1069,209
1069,196
1069,175
1069,192
1069,201
1069,181
1069,188
1069,234
1069,183
1069,189
1069,206
1069,173
1069,225
812,174
411,90
1069,155
1069,169
1069,152
1069,147
1069,149
1069,151
1069,157
1069,201
1069,145
1069,182
1069,147
1069,154
1069,145
1069,145
1069,144
1069,140
1069,132
1069,131
1069,138
1069,155
1069,159
1069,155
1069,148
534,94
534,88
534,92
534,91
534,101
534,109
534,114
534,110
1182,232
1182,222
1097,183
1097,188
1097,182
1097,212
1097,200
1097,161
1097,207
1097,196
1097,158
1097,174
701,106
613,107
509,116
509,105
509,110
509,100
509,92
509,101
509,102
509,103
509,98
509,110
509,105
509,106
509,87
509,96
509,93
509,108
509,99
509,85
509,104
509,98
509,135
509,98
509,137
509,100
509,179
509,104
509,91
509,114
509,125
812,116
812,120
812,118
812,115
812,138
812,112
812,119
812,125
812,117
812,118
812,105
812,164
812,108
812,134
812,140
812,110
812,117
812,122
812,124
812,121
812,125
812,131
812,117
812,113
812,113
386,79
340,111
340,98
340,143
340,94
340,93
340,98
340,93
340,88
340,114
340,125
340,98
340,109
340,111
340,103
340,90
340,94
340,116
340,92
340,98
340,107
340,118
340,127
340,120
340,101
340,105
340,111
340,125
1262,166
184,100
184,87
184,80
184,94
1182,214
1182,201
1182,217
1182,186
1182,198
1182,210
1182,199
1182,217
1182,181
1182,244
1182,205
1182,227
1182,202
1182,216
1182,202
1029,186
1029,191
1029,183
1029,158
1029,179
1029,163
94,51
740,137
740,137
740,147
740,129
740,153
740,130
740,123
740,138
740,120
740,121
740,172
740,119
740,121
740,109
740,120
740,125
740,182
740,120
740,121
740,123
740,166
740,122
