OriginCityName,DestCityName,c
"Asheville NC","Detroit MI",1
"Baton Rouge LA","Lafayette LA",1
"Baton Rouge LA","Washington DC",1
"Bismarck/Mandan ND","Aberdeen SD",1
"Boston MA","Cleveland OH",1
"Charleston/Dunbar WV","Detroit MI",1
"Chicago IL","Kahului HI",1
"Cincinnati OH","Omaha NE",1
"Cincinnati OH","Seattle WA",1
"Cleveland OH","Boston MA",1
"Cleveland OH","Philadelphia PA",1
"Columbus OH","Los Angeles CA",1
"Crescent City CA","Sacramento CA",1
"Dallas TX","Denver CO",1
"Detroit MI","Asheville NC",1
"Duluth MN","Detroit MI",1
"Fort Myers FL","Trenton NJ",1
"Gainesville FL","Lexington KY",1
"Grand Junction CO","Aspen CO",1
"Great Falls MT","Minneapolis MN",1
"Indianapolis IN","Los Angeles CA",1
"Jacksonville FL","Minneapolis MN",1
"Kalispell MT","Minneapolis MN",1
"Kansas City MO","Tulsa OK",1
"Key West FL","New York NY",1
"Kona HI","Chicago IL",1
"Lake Charles LA","Lafayette LA",1
"Los Angeles CA","Columbus OH",1
"Los Angeles CA","Grand Junction CO",1
"Los Angeles CA","Indianapolis IN",1
"Los Angeles CA","Raleigh/Durham NC",1
"Memphis TN","Springfield MO",1
"Minneapolis MN","Great Falls MT",1
"Minneapolis MN","Jacksonville FL",1
"Minneapolis MN","Kalispell MT",1
"Nashville TN","Oklahoma City OK",1
"New York NY","Key West FL",1
"Omaha NE","Cincinnati OH",1
"Philadelphia PA","Cleveland OH",1
"Raleigh/Durham NC","Los Angeles CA",1
"Richmond VA","Baltimore MD",1
"San Diego CA","St. Louis MO",1
"Savannah GA","New York NY",1
"Seattle WA","Cincinnati OH",1
"South Bend IN","Miami FL",1
"Springfield MO","Memphis TN",1
"St. Louis MO","San Diego CA",1
"Syracuse NY","Cleveland OH",1
"Syracuse NY","White Plains NY",1
"Tampa FL","Trenton NJ",1
"Trenton NJ","Fort Myers FL",1
"Trenton NJ","Tampa FL",1
"Twin Falls ID","Boise ID",1
"Allentown/Bethlehem/Easton PA","Washington DC",2
"Anchorage AK","Salt Lake City UT",2
"Asheville NC","Newark NJ",2
"Billings MT","Minneapolis MN",2
"Bozeman MT","Los Angeles CA",2
"Chicago IL","Bozeman MT",2
"Chicago IL","Portland ME",2
"Chicago IL","Rapid City SD",2
"Cleveland OH","Pittsburgh PA",2
"Cleveland OH","San Diego CA",2
"Cleveland OH","Seattle WA",2
"Denver CO","Dallas TX",2
"Detroit MI","Charleston/Dunbar WV",2
"Detroit MI","Duluth MN",2
"Detroit MI","Portland OR",2
"Detroit MI","Roanoke VA",2
"Detroit MI","Sarasota/Bradenton FL",2
"Detroit MI","Savannah GA",2
"Fort Wayne IN","Minneapolis MN",2
"Gunnison CO","Houston TX",2
"Houston TX","Gunnison CO",2
"Houston TX","Reno NV",2
"Jackson WY","Newark NJ",2
"Knoxville TN","Orlando FL",2
"Los Angeles CA","Bozeman MT",2
"Memphis TN","Jacksonville FL",2
"Minneapolis MN","Billings MT",2
"Minneapolis MN","Fort Wayne IN",2
"Minneapolis MN","Kalamazoo MI",2
"Minneapolis MN","Syracuse NY",2
"Newark NJ","Asheville NC",2
"Newark NJ","Jackson WY",2
"Orlando FL","Knoxville TN",2
"Pittsburgh PA","Cleveland OH",2
"Portland ME","Chicago IL",2
"Portland OR","Detroit MI",2
"Rapid City SD","Chicago IL",2
"Reno NV","Houston TX",2
"Roanoke VA","Detroit MI",2
"San Diego CA","Cleveland OH",2
"Sarasota/Bradenton FL","Detroit MI",2
"Savannah GA","Detroit MI",2
"Seattle WA","Cleveland OH",2
"Washington DC","Allentown/Bethlehem/Easton PA",2
"Bozeman MT","Chicago IL",3
"Charlotte NC","Manchester NH",3
"Cleveland OH","Dayton OH",3
"Greensboro/High Point NC","New York NY",3
"Kalamazoo MI","Minneapolis MN",3
"Memphis TN","Birmingham AL",3
"New York NY","Greensboro/High Point NC",3
"Salt Lake City UT","Anchorage AK",3
"Syracuse NY","Minneapolis MN",3
"Anchorage AK","Kona HI",4
"Birmingham AL","Fort Lauderdale FL",4
"Birmingham AL","Memphis TN",4
"Bozeman MT","Newark NJ",4
"Branson MO","Orlando FL",4
"Buffalo NY","Minneapolis MN",4
"Charlotte NC","Christiansted VI",4
"Christiansted VI","Charlotte NC",4
"Cleveland OH","New Orleans LA",4
"Cleveland OH","Syracuse NY",4
"Denver CO","Kona HI",4
"Denver CO","Lihue HI",4
"Detroit MI","San Juan PR",4
"Hayden CO","Newark NJ",4
"Jacksonville FL","Memphis TN",4
"Kansas City MO","Oakland CA",4
"Kona HI","Anchorage AK",4
"Kona HI","Denver CO",4
"Lihue HI","Denver CO",4
"Madison WI","Orlando FL",4
"Miami FL","Tulsa OK",4
"Minneapolis MN","Albuquerque NM",4
"Minneapolis MN","San Juan PR",4
"Montrose/Delta CO","Newark NJ",4
"New York NY","Charleston SC",4
"New York NY","Palm Springs CA",4
"Newark NJ","Bozeman MT",4
"Newark NJ","Hayden CO",4
"Newark NJ","Montrose/Delta CO",4
"Oakland CA","Kansas City MO",4
"Orlando FL","Branson MO",4
"Orlando FL","Madison WI",4
"Palm Springs CA","New York NY",4
"Rochester NY","Cleveland OH",4
"San Juan PR","Detroit MI",4
"San Juan PR","Minneapolis MN",4
"Tulsa OK","Miami FL",4
"Albany NY","Las Vegas NV",5
"Albuquerque NM","Minneapolis MN",5
"Albuquerque NM","Portland OR",5
"Albuquerque NM","St. Louis MO",5
"Charleston SC","Detroit MI",5
"Fort Lauderdale FL","Birmingham AL",5
"Jacksonville FL","Las Vegas NV",5
"Las Vegas NV","Albany NY",5
"Las Vegas NV","Jacksonville FL",5
"Las Vegas NV","Providence RI",5
"New Orleans LA","Cleveland OH",5
"Orlando FL","Panama City FL",5
"Panama City FL","Orlando FL",5
"Phoenix AZ","Raleigh/Durham NC",5
"Portland OR","Albuquerque NM",5
"Providence RI","Las Vegas NV",5
"Raleigh/Durham NC","Phoenix AZ",5
"St. Louis MO","Albuquerque NM",5
"Branson MO","Denver CO",6
"Chicago IL","Pensacola FL",6
"Colorado Springs CO","Orlando FL",6
"Denver CO","Branson MO",6
"Denver CO","Gunnison CO",6
"Jackson WY","Minneapolis MN",6
"Minneapolis MN","Jackson WY",6
"Orlando FL","Colorado Springs CO",6
"Pensacola FL","Chicago IL",6
"Boston MA","San Jose CA",7
"Gunnison CO","Denver CO",7
"Oakland CA","Washington DC",7
"San Jose CA","Boston MA",7
"Albuquerque NM","El Paso TX",8
"Anchorage AK","Chicago IL",8
"Buffalo NY","Cleveland OH",8
"Charlotte Amalie VI","Chicago IL",8
"Chicago IL","Charlotte Amalie VI",8
"Cleveland OH","Buffalo NY",8
"Cleveland OH","San Juan PR",8
"El Paso TX","Albuquerque NM",8
"Hayden CO","Los Angeles CA",8
"Los Angeles CA","Hayden CO",8
"Los Angeles CA","Montrose/Delta CO",8
"Montrose/Delta CO","Los Angeles CA",8
"San Juan PR","Cleveland OH",8
"Washington DC","Oakland CA",8
"Adak Island AK","Anchorage AK",9
"Anchorage AK","Adak Island AK",9
"Atlanta GA","Bozeman MT",9
"Atlanta GA","Jackson WY",9
"Atlanta GA","Montrose/Delta CO",9
