x,y
"San Francisco CA - Las Vegas NV",1408
"New York NY - Miami FL",1466
"Los Angeles CA - Chicago IL",1481
"Orlando FL - Atlanta GA",1483
"Orlando FL - New York NY",1508
"Cleveland OH - Chicago IL",1512
"Washington DC - Chicago IL",1574
"Phoenix AZ - Los Angeles CA",1577
"New York NY - Fort Lauderdale FL",1582
"New York NY - Boston MA",1629
"San Diego CA - Los Angeles CA",1674
"Washington DC - Boston MA",1685
"Detroit MI - Chicago IL",1699
"Minneapolis MN - Chicago IL",1713
"Houston TX - Dallas TX",1782
"Houston TX - Atlanta GA",1823
"Washington DC - Atlanta GA",1832
"Los Angeles CA - Las Vegas NV",1860
"New York NY - Chicago IL",1869
"New York NY - Los Angeles CA",1873
"Kahului HI - Honolulu HI",1993
"Washington DC - New York NY",2014
"New York NY - Atlanta GA",2064
"Chicago IL - Atlanta GA",2289
"San Francisco CA - Los Angeles CA",2662
