x,y
175,193
178,202
201,220
176,198
162,182
171,188
186,208
204,224
174,223
189,215
188,204
199,215
202,231
167,195
156,201
220,248
208,223
234,259
209,253
196,226
221,267
202,235
196,218
260,312
240,286
237,281
247,273
202,224
200,239
208,241
207,227
233,277
206,244
196,258
185,237
196,241
206,226
198,230
241,278
130,153
97,114
98,122
153,201
74,109
74,96
75,93
74,94
44,76
113,135
124,177
118,137
68,106
84,123
79,99
64,94
80,96
79,100
83,107
86,106
57,69
108,125
87,104
114,133
99,132
126,149
126,152
157,181
141,169
41,67
46,122
118,136
125,147
121,142
139,153
137,159
124,146
135,156
134,151
131,152
140,159
129,158
148,183
141,155
121,153
122,148
122,145
133,150
150,172
145,160
134,158
149,180
145,172
151,170
153,174
163,178
153,176
136,156
144,160
134,169
121,213
141,169
53,92
46,86
133,151
152,170
110,140
106,124
113,131
91,105
67,86
65,82
74,101
68,86
89,105
70,88
73,91
74,88
62,81
63,84
64,80
82,106
82,102
76,96
85,105
62,75
72,101
140,169
134,156
128,145
137,156
138,157
146,162
143,166
139,159
148,171
132,149
133,157
128,149
123,140
130,164
159,181
139,156
138,158
147,165
146,172
162,188
167,186
153,170
149,170
147,174
144,168
140,154
133,150
140,162
86,131
169,186
197,228
51,85
57,75
63,80
54,68
55,72
62,79
61,75
60,73
61,72
57,79
54,69
66,82
61,83
50,84
60,87
55,86
61,93
52,67
57,83
58,90
58,92
60,81
57,78
129,145
115,132
126,157
127,145
109,132
174,192
79,108
76,97
73,98
75,99
79,97
73,105
70,90
69,91
77,97
72,91
75,102
67,86
81,117
73,95
86,107
76,101
80,102
75,94
70,81
76,96
71,101
79,100
119,139
79,96
86,113
146,187
150,203
88,101
95,110
90,117
96,118
41,56
44,75
42,60
42,73
43,77
41,68
45,82
44,73
46,87
48,100
50,83
45,88
42,59
40,69
42,70
42,84
38,69
41,59
45,95
42,59
44,76
44,65
55,78
46,98
139,161
136,162
157,181
156,178
156,173
150,172
145,158
153,174
148,185
143,168
150,175
147,166
157,179
154,167
151,172
148,167
150,166
148,168
144,168
141,164
150,200
192,217
138,157
137,165
131,151
82,105
41,78
38,63
42,64
45,79
121,149
121,162
114,158
124,155
124,175
131,173
140,179
134,167
142,163
148,195
150,184
110,150
122,154
119,144
119,152
106,142
107,163
111,137
122,148
143,163
127,179
158,213
123,160
123,166
123,147
83,122
108,128
103,130
110,149
105,128
119,141
106,148
130,156
99,122
97,125
94,119
100,128
118,137
114,135
120,144
133,163
126,150
120,139
111,132
117,154
108,130
92,114
115,135
113,137
77,111
86,104
48,75
51,75
52,77
54,88
50,66
65,88
47,74
55,76
58,74
62,79
56,83
60,78
56,75
60,125
55,76
66,85
52,65
56,94
60,79
54,80
58,81
56,101
54,93
151,169
185,232
151,167
146,171
62,75
36,60
85,107
132,177
130,180
128,166
126,154
140,167
125,162
126,146
126,151
130,159
132,188
140,172
121,141
122,139
132,180
133,178
137,155
139,153
123,137
127,164
147,171
124,169
130,158
131,165
130,177
123,152
143,190
134,166
44,91
42,71
41,68
37,68
47,71
39,53
37,61
43,66
40,54
52,80
37,54
42,57
39,73
36,56
51,71
41,69
48,66
40,54
42,56
45,61
43,62
45,66
45,64
44,75
44,63
56,134
63,90
39,63
40,100
41,56
40,63
43,63
47,76
44,77
37,62
44,74
39,54
41,73
42,60
40,70
44,68
38,64
38,58
37,49
36,53
51,67
41,70
44,86
39,79
44,74
45,94
44,66
49,63
44,63
44,69
44,74
49,75
40,74
41,113
43,59
115,135
111,142
111,135
105,131
68,100
122,146
45,76
36,55
40,52
39,68
43,64
43,62
40,58
47,75
45,68
46,79
46,64
43,78
40,56
41,84
34,61
36,71
37,60
37,74
40,62
38,68
39,59
36,64
41,61
40,96
47,70
48,68
42,76
41,81
98,121
94,113
100,112
100,122
101,117
106,118
92,108
105,121
93,117
99,124
94,112
99,114
111,133
103,128
113,135
118,147
128,149
109,128
109,124
112,137
119,134
109,128
96,119
39,56
40,66
122,136
120,145
125,136
117,161
118,137
116,161
36,60
39,63
38,71
35,48
43,77
45,64
42,68
43,71
52,77
46,62
40,69
42,64
36,50
40,78
38,60
40,68
36,60
39,67
39,59
33,65
38,63
38,58
36,58
39,57
47,93
55,105
49,62
42,65
38,76
82,113
97,147
92,118
102,133
95,135
93,133
94,123
107,127
90,126
111,146
87,119
94,135
96,144
100,127
102,124
103,125
102,137
95,122
106,139
101,126
102,138
101,130
87,111
97,126
90,165
100,126
101,127
107,140
95,132
96,139
82,138
79,103
74,99
70,100
77,114
78,103
75,97
78,117
73,105
70,95
80,112
73,102
69,93
76,118
81,109
82,105
75,105
79,119
68,95
69,102
76,110
76,126
68,97
78,109
75,105
71,103
76,98
92,159
171,213
108,153
149,203
166,189
155,186
152,195
156,192
169,216
185,238
162,195
177,207
163,205
155,203
190,216
182,214
179,214
160,202
167,224
167,203
163,193
156,176
162,188
171,226
186,234
159,181
174,190
179,210
173,215
157,196
148,185
152,187
107,130
82,122
94,116
93,117
78,101
79,98
73,88
75,102
86,111
77,107
90,132
76,95
78,104
83,102
82,96
81,101
82,107
84,108
80,101
84,112
88,113
81,101
85,112
76,96
81,112
89,117
82,96
57,101
58,73
58,73
61,98
60,82
63,86
68,100
65,81
64,83
60,85
58,134
56,71
62,109
60,74
63,76
67,92
61,77
62,84
60,85
69,93
62,77
57,81
58,82
43,58
42,61
79,94
80,103
81,110
85,102
88,105
91,110
102,119
91,105
85,101
88,109
99,120
90,105
91,109
95,109
96,122
82,99
98,118
87,110
97,125
104,121
141,196
143,202
67,86
71,104
64,77
63,98
63,110
62,88
62,90
71,101
67,97
78,102
71,94
70,106
70,100
62,81
60,93
59,78
59,87
60,83
58,86
61,87
61,83
60,93
65,120
63,91
83,125
65,75
64,86
60,76
50,69
59,79
55,84
55,71
57,67
55,69
57,83
54,70
56,76
59,74
62,79
48,58
53,65
65,88
57,77
56,70
57,77
59,119
58,93
57,74
56,76
61,78
59,86
93,121
88,111
129,182
128,149
101,121
106,120
112,130
106,127
110,128
105,128
113,127
126,142
102,138
106,124
102,133
118,134
114,138
103,117
105,119
99,112
104,116
96,107
98,112
100,112
105,119
107,121
107,124
97,110
145,167
124,147
124,157
120,144
126,166
126,146
118,141
116,138
135,155
125,143
129,145
130,162
124,144
119,137
117,152
125,146
122,138
130,145
124,142
131,146
129,147
118,139
148,171
97,115
149,182
146,167
157,182
154,184
158,178
166,183
154,174
168,199
151,169
178,202
183,209
153,196
154,175
157,192
164,201
162,181
166,188
174,234
156,183
161,189
170,206
153,173
169,225
145,174
77,90
138,155
144,169
133,152
129,147
128,149
123,151
139,157
116,201
126,145
124,182
126,147
133,154
127,145
125,145
126,144
119,140
118,132
115,131
121,138
124,155
131,159
132,155
125,148
74,94
69,88
73,92
71,91
84,101
90,109
92,114
88,110
207,232
202,222
151,183
159,188
142,182
166,212
181,200
139,161
177,207
174,196
131,158
143,174
89,106
90,107
76,116
77,105
65,110
74,100
69,92
68,101
64,102
71,103
71,98
74,110
85,105
71,106
69,87
74,96
71,93
75,108
76,99
64,85
74,104
68,98
71,135
69,98
84,137
69,100
63,179
79,104
67,91
83,114
84,125
93,116
92,120
94,118
97,115
102,138
96,112
100,119
105,125
100,117
95,118
86,105
90,164
92,108
111,134
99,140
96,110
102,117
100,122
100,124
103,121
98,125
105,131
100,117
93,113
99,113
63,79
66,111
68,98
70,143
65,94
67,93
73,98
66,93
61,88
63,114
63,125
69,98
73,109
77,111
75,103
65,90
70,94
73,116
74,92
73,98
70,107
65,118
70,127
71,120
73,101
67,105
67,111
73,125
144,166
37,100
36,87
40,80
41,94
187,214
176,201
200,217
170,186
182,198
180,210
176,199
166,217
165,181
193,244
193,205
202,227
188,202
184,216
177,202
132,186
134,191
146,183
131,158
145,179
141,163
32,51
108,137
108,137
101,147
106,129
101,153
100,130
99,123
98,138
98,120
101,121
120,172
96,119
92,121
92,109
96,120
99,125
110,182
93,120
100,121
102,123
97,166
99,122
