CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,0,17,0,0
0,0,15,0,0
0,0,20,0,0
0,0,15,0,0
0,0,31,0,31
0,288,0,0,0
14,0,1,0,0
0,0,57,0,0
0,0,21,0,0
9,0,21,0,0
76,0,17,0,0
0,0,0,0,51
29,0,0,0,6
0,0,20,0,0
28,0,0,0,0
0,0,29,0,0
36,0,0,0,0
23,0,0,0,0
0,0,34,0,0
2,0,0,0,66
9,0,0,0,54
194,0,0,0,0
0,0,0,0,23
0,0,0,0,100
0,0,0,0,71
204,0,0,0,0
45,0,0,0,8
29,0,4,0,0
0,0,0,0,20
4,0,19,0,30
0,0,0,0,35
170,0,0,0,0
5,0,9,0,12
0,0,50,0,12
0,0,37,0,0
0,0,0,0,59
81,0,0,0,0
0,0,0,0,166
0,6,0,0,60
0,2,0,0,16
85,0,0,0,0
0,0,17,0,0
23,0,0,0,0
31,0,0,0,0
0,0,18,0,0
0,0,18,0,0
0,0,16,0,0
0,0,35,0,90
0,0,0,0,303
0,0,0,0,48
69,0,0,0,0
0,0,21,0,0
9,0,13,0,0
16,0,0,0,0
0,0,42,0,0
111,0,0,0,0
0,0,0,0,22
12,0,0,0,19
5,0,0,0,166
0,0,0,0,21
0,0,0,0,52
0,0,0,0,25
4,0,0,0,30
0,0,0,0,64
13,0,37,0,0
23,0,0,0,7
0,0,34,0,0
0,0,18,0,0
0,0,15,0,0
16,0,0,0,0
0,0,17,0,0
0,0,17,0,0
28,0,0,0,0
0,84,60,0,0
0,36,26,0,0
0,0,28,0,0
23,0,0,0,0
17,0,0,0,0
431,0,0,0,0
200,0,0,0,0
0,23,37,0,0
0,0,0,0,250
14,0,1,0,0
13,0,0,0,21
90,0,0,0,0
60,0,12,0,0
118,0,0,0,13
0,0,13,0,3
0,0,0,0,21
5,0,24,0,29
0,0,4,0,14
0,0,0,0,264
0,0,0,0,235
0,0,0,0,156
0,0,0,0,17
34,0,0,0,0
0,0,19,0,0
0,0,0,0,34
8,0,7,0,0
53,0,0,0,0
37,0,0,0,0
6,0,22,0,0
17,0,34,0,0
0,0,16,0,0
126,0,0,0,0
28,0,0,0,0
0,0,17,0,15
10,0,15,0,0
22,0,9,0,0
0,0,0,0,73
0,0,35,0,0
0,0,17,0,0
48,0,0,0,0
77,0,0,0,0
41,0,0,0,0
50,0,0,0,0
108,0,0,0,0
60,0,0,0,0
0,0,0,37,167
0,0,58,0,0
0,0,22,0,6
7,0,28,0,0
11,0,6,0,20
13,0,4,0,0
231,0,4,0,0
112,0,0,0,0
5,0,0,0,12
73,0,24,0,0
0,0,0,0,156
2,0,0,0,18
0,0,15,0,0
183,0,0,0,0
0,0,41,0,0
0,0,15,0,0
17,0,0,0,0
114,0,0,0,35
405,0,0,0,0
21,0,5,0,0
0,0,19,0,0
7,0,25,0,0
38,0,3,0,0
55,0,3,0,0
0,0,0,0,196
147,0,0,0,0
30,0,0,0,96
0,10,19,0,0
0,0,22,0,0
76,0,0,0,0
0,0,21,0,0
0,0,16,0,0
0,0,0,0,38
0,0,9,0,47
14,0,9,0,0
0,0,17,0,0
0,0,42,0,0
0,0,30,0,0
0,0,17,0,0
0,0,49,0,0
0,0,27,0,0
0,0,0,0,16
88,0,0,0,0
21,0,0,0,0
115,0,5,0,10
0,0,25,0,0
0,0,22,0,0
157,0,0,0,55
33,0,0,0,0
48,0,0,0,0
0,0,146,0,0
87,0,0,0,0
89,0,0,0,0
0,0,18,0,0
28,0,19,0,0
0,140,61,0,0
94,0,0,0,0
0,0,7,0,64
22,0,0,0,0
0,39,38,0,0
10,0,14,0,0
14,0,0,0,15
0,0,31,0,0
0,0,8,0,11
115,0,0,0,0
39,0,0,0,0
177,0,0,0,0
0,0,8,0,15
30,0,0,0,0
17,0,0,0,0
0,0,24,0,89
17,0,0,0,99
0,0,19,0,0
6,0,10,0,0
0,0,220,0,0
149,0,0,0,0
0,0,0,0,106
41,0,0,0,0
0,0,62,0,0
120,0,0,0,0
0,0,33,0,0
0,0,24,0,0
0,20,0,0,0
0,172,49,0,26
0,153,0,0,0
26,0,0,0,0
396,0,0,0,0
68,0,0,0,0
205,0,0,0,41
59,0,0,0,0
70,0,0,0,0
0,0,17,0,0
0,0,35,0,0
46,0,0,0,0
116,0,0,0,0
80,0,0,0,0
16,0,15,0,0
0,0,0,0,19
0,0,0,0,22
11,0,6,0,40
0,0,9,0,11
1,0,2,0,63
56,0,16,0,0
0,0,9,0,9
0,0,32,0,0
0,0,20,0,0
0,0,27,0,0
5,0,0,0,161
88,0,0,0,0
0,0,52,0,110
0,0,7,0,8
0,0,20,0,0
0,0,0,0,23
0,0,2,0,81
0,0,0,0,20
31,0,0,0,27
39,0,0,0,0
0,0,29,0,0
22,0,0,0,122
41,0,4,0,0
15,0,0,0,0
9,0,17,0,0
0,10,56,0,0
0,0,15,0,0
0,0,20,0,0
0,0,21,0,0
0,0,7,0,20
0,0,15,0,0
0,0,0,0,24
0,79,11,0,0
0,201,0,0,21
155,0,0,0,93
