a,b,c
"Bismarck/Mandan ND","Aberdeen SD",1
"Grand Junction CO","Aspen CO",1
"Kahului HI","Chicago IL",1
"Kona HI","Chicago IL",1
"Lafayette LA","Baton Rouge LA",1
"Lake Charles LA","Lafayette LA",1
"Lexington KY","Gainesville FL",1
"Los Angeles CA","Grand Junction CO",1
"Oklahoma City OK","Nashville TN",1
"Richmond VA","Baltimore MD",1
"Sacramento CA","Crescent City CA",1
"Savannah GA","New York NY",1
"South Bend IN","Miami FL",1
"Tulsa OK","Kansas City MO",1
"Twin Falls ID","Boise ID",1
"Washington DC","Baton Rouge LA",1
"White Plains NY","Syracuse NY",1
"Cleveland OH","Boston MA",2
"Detroit MI","Asheville NC",2
"Los Angeles CA","Columbus OH",2
"Los Angeles CA","Indianapolis IN",2
"Minneapolis MN","Great Falls MT",2
"Minneapolis MN","Jacksonville FL",2
"Minneapolis MN","Kalispell MT",2
"New York NY","Key West FL",2
"Omaha NE","Cincinnati OH",2
"Philadelphia PA","Cleveland OH",2
"Raleigh/Durham NC","Los Angeles CA",2
"Seattle WA","Cincinnati OH",2
"Springfield MO","Memphis TN",2
"St. Louis MO","San Diego CA",2
"Trenton NJ","Fort Myers FL",2
"Trenton NJ","Tampa FL",2
"Denver CO","Dallas TX",3
"Detroit MI","Charleston/Dunbar WV",3
"Duluth MN","Detroit MI",3
"Manchester NH","Charlotte NC",3
"Houston TX","Gunnison CO",4
"Los Angeles CA","Bozeman MT",4
"Minneapolis MN","Billings MT",4
"Minneapolis MN","Buffalo NY",4
"Minneapolis MN","Fort Wayne IN",4
"Newark NJ","Asheville NC",4
"Newark NJ","Jackson WY",4
"Orlando FL","Knoxville TN",4
"Pittsburgh PA","Cleveland OH",4
"Portland ME","Chicago IL",4
"Portland OR","Detroit MI",4
"Rapid City SD","Chicago IL",4
"Reno NV","Houston TX",4
"Roanoke VA","Detroit MI",4
"San Diego CA","Cleveland OH",4
"Sarasota/Bradenton FL","Detroit MI",4
"Savannah GA","Detroit MI",4
"Seattle WA","Cleveland OH",4
"Washington DC","Allentown/Bethlehem/Easton PA",4
"Chicago IL","Bozeman MT",5
"Minneapolis MN","Kalamazoo MI",5
"Salt Lake City UT","Anchorage AK",5
"Syracuse NY","Cleveland OH",5
"Syracuse NY","Minneapolis MN",5
"Memphis TN","Jacksonville FL",6
"New York NY","Greensboro/High Point NC",6
"Memphis TN","Birmingham AL",7
"Christiansted VI","Charlotte NC",8
"Kona HI","Anchorage AK",8
"Kona HI","Denver CO",8
"Lihue HI","Denver CO",8
"Newark NJ","Bozeman MT",8
"Newark NJ","Hayden CO",8
"Newark NJ","Montrose/Delta CO",8
"Oakland CA","Kansas City MO",8
"Orlando FL","Branson MO",8
"Orlando FL","Madison WI",8
"Palm Springs CA","New York NY",8
"San Juan PR","Detroit MI",8
"San Juan PR","Minneapolis MN",8
"Tulsa OK","Miami FL",8
"Fort Lauderdale FL","Birmingham AL",9
"Minneapolis MN","Albuquerque NM",9
"New Orleans LA","Cleveland OH",9
"Las Vegas NV","Albany NY",10
"Las Vegas NV","Jacksonville FL",10
"Panama City FL","Orlando FL",10
"Portland OR","Albuquerque NM",10
"Providence RI","Las Vegas NV",10
"Raleigh/Durham NC","Phoenix AZ",10
"St. Louis MO","Albuquerque NM",10
"Denver CO","Branson MO",12
"Minneapolis MN","Jackson WY",12
"Orlando FL","Colorado Springs CO",12
"Pensacola FL","Chicago IL",12
"Gunnison CO","Denver CO",13
