x,y
3324,193
3324,202
3324,220
3324,198
3324,182
3324,188
3324,208
3324,224
3324,223
3324,215
3324,204
3324,215
3324,231
3324,195
3324,201
3325,248
3325,223
3325,259
3325,253
3325,226
3325,267
3325,235
3325,218
3325,312
3325,286
3325,281
3325,273
3325,224
3325,239
3325,241
3325,227
3325,277
3325,244
3325,258
3325,237
3325,241
3325,226
3325,230
3325,278
3326,153
3326,114
3327,122
3327,201
3328,109
3328,96
3328,93
3328,94
3328,76
3328,135
3328,177
3328,137
3329,106
3329,123
3329,99
3329,94
3329,96
3329,100
3329,107
3329,106
3330,69
3331,125
3331,104
3331,133
3331,132
3331,149
3331,152
3331,181
3331,169
3331,67
3331,122
3331,136
3332,147
3332,142
3332,153
3332,159
3332,146
3332,156
3332,151
3332,152
3332,159
3332,158
3332,183
3332,155
3332,153
3332,148
3332,145
3332,150
3332,172
3332,160
3332,158
3332,180
3332,172
3332,170
3332,174
3332,178
3332,176
3332,156
3332,160
3332,169
3332,213
3332,169
3333,92
3333,86
3333,151
3333,170
3334,140
3334,124
3334,131
3334,105
3334,86
3334,82
3334,101
3334,86
3334,105
3334,88
3334,91
3334,88
3334,81
3334,84
3334,80
3334,106
3334,102
3334,96
3334,105
3334,75
3334,101
3335,169
3335,156
3335,145
3335,156
3335,157
3335,162
3335,166
3335,159
3335,171
3335,149
3335,157
3335,149
3335,140
3335,164
3335,181
3335,156
3335,158
3335,165
3335,172
3335,188
3335,186
3335,170
3335,170
3335,174
3335,168
3335,154
3335,150
3335,162
3335,131
3335,186
3336,228
3336,85
3336,75
3336,80
3336,68
3336,72
3336,79
3336,75
3336,73
3336,72
3336,79
3336,69
3336,82
3336,83
3336,84
3336,87
3336,86
3336,93
3336,67
3336,83
3336,90
3336,92
3336,81
3336,78
3336,145
3336,132
3336,157
3336,145
3336,132
3337,192
3337,108
3337,97
3337,98
3337,99
3337,97
3337,105
3337,90
3337,91
3337,97
3337,91
3337,102
3337,86
3337,117
3337,95
3337,107
3337,101
3337,102
3337,94
3337,81
3337,96
3337,101
3337,100
3337,139
3337,96
3337,113
3338,187
3338,203
3338,101
3338,110
3338,117
3338,118
3338,56
3338,75
3338,60
3338,73
3338,77
3338,68
3338,82
3338,73
3338,87
3338,100
3338,83
3338,88
3338,59
3338,69
3338,70
3338,84
3338,69
3338,59
3338,95
3338,59
3338,76
3338,65
3338,78
3338,98
3339,161
3339,162
3339,181
3339,178
3339,173
3339,172
3339,158
3339,174
3339,185
3339,168
3339,175
3339,166
3339,179
3339,167
3339,172
3339,167
3339,166
3339,168
3339,168
3339,164
3339,200
3339,217
3339,157
3339,165
3340,151
3340,105
3340,78
3340,63
3340,64
3340,79
3340,149
3340,162
3340,158
3340,155
3340,175
3340,173
3340,179
3340,167
3340,163
3340,195
3340,184
3340,150
3340,154
3340,144
3340,152
3340,142
3340,163
3340,137
3340,148
3340,163
3340,179
3340,213
3340,160
3340,166
3341,147
3341,122
3341,128
3341,130
3341,149
3341,128
3341,141
3341,148
3341,156
3341,122
3341,125
3341,119
3341,128
3341,137
3341,135
3341,144
3341,163
3341,150
3341,139
3341,132
3341,154
3341,130
3341,114
3341,135
3341,137
3342,111
3342,104
3342,75
3342,75
3342,77
3342,88
3342,66
3342,88
3342,74
3342,76
3342,74
3342,79
3342,83
3342,78
3342,75
3342,125
3342,76
3342,85
3342,65
3342,94
3342,79
3342,80
3342,81
3342,101
3342,93
3342,169
3342,232
3342,167
3342,171
3343,75
3344,60
3344,107
3344,177
3344,180
3344,166
3344,154
3344,167
3344,162
3344,146
3344,151
3344,159
3344,188
3344,172
3344,141
3344,139
3344,180
3344,178
3344,155
3344,153
3344,137
3344,164
3344,171
3344,169
3344,158
3344,165
3344,177
3344,152
3344,190
3344,166
3345,91
3345,71
3345,68
3345,68
3345,71
3345,53
3345,61
3345,66
3345,54
3345,80
3345,54
3345,57
3345,73
3345,56
3345,71
3345,69
3345,66
3345,54
3345,56
3345,61
3345,62
3345,66
3345,64
3345,75
3345,63
3345,134
3345,90
3345,63
3345,100
3345,56
3346,63
3346,63
3346,76
3346,77
3346,62
3346,74
3346,54
3346,73
3346,60
3346,70
3346,68
3346,64
3346,58
3346,49
3346,53
3346,67
3346,70
3346,86
3346,79
3346,74
3346,94
3346,66
3346,63
3346,63
3346,69
3346,74
3346,75
3346,74
3346,113
3346,59
3347,135
3347,142
3348,135
3349,131
3350,100
3350,146
3350,76
3350,55
3350,52
3350,68
3350,64
3350,62
3350,58
3350,75
3350,68
3350,79
3350,64
3350,78
3350,56
3350,84
3350,61
3350,71
3350,60
3350,74
3350,62
3350,68
3350,59
3350,64
3350,61
3350,96
3350,70
3350,68
3350,76
3350,81
3351,121
3351,113
3351,112
3351,122
3351,117
3351,118
3351,108
3351,121
3351,117
3351,124
3351,112
3351,114
3351,133
3351,128
3351,135
3351,147
3351,149
3351,128
3351,124
3351,137
3351,134
3351,128
3351,119
3351,56
3351,66
3351,136
3351,145
3351,136
3351,161
3352,137
3352,161
3352,60
3352,63
3352,71
3352,48
3352,77
3352,64
3352,68
3352,71
3352,77
3352,62
3352,69
3352,64
3352,50
3352,78
3352,60
3352,68
3352,60
3352,67
3352,59
3352,65
3352,63
3352,58
3352,58
3352,57
3352,93
3352,105
3352,62
3352,65
3352,76
3353,113
3353,147
3353,118
3353,133
3353,135
3353,133
3353,123
3353,127
